#MASTER VARIABLE MAP
#cmip_variable,definable_in_access,access_variable(s),calculation,units,axes_modifier,positive,ACCESS_ver[CM2/ESM/both],realm,notes
#
#...aerosol...
sivols,yes,hi tarea TLAT,"calc_hemi_seaice_area_vol(var[0],var[1],var[2],'south')",m3,dropX dropY,,both,seaIce,
siextentn,yes,aice tarea TLAT,"calc_hemi_seaice_extent(var[0],var[1],var[2],'north')",m2,dropX dropY,,both,seaIce,
siextents,yes,aice tarea TLAT,"calc_hemi_seaice_extent(var[0],var[1],var[2],'south')",m2,dropX dropY,,both,seaIce,
sicompstren,yes,sicompstren,,N m-1,,,CM2,seaIce,
sicompstren,yes,strength aice,"maskSeaIce(var[0]*var[1],var[1])",N m-1,,,ESM,seaIce,
siage,yes,siage,,s,,,CM2,seaIce,
sidivvel,yes,sidivvel,,s-1,,,CM2,seaIce,
sidivvel,yes,divu aice,"maskSeaIce(var[0]*var[1],var[1])",%/day,,,ESM,seaIce,
sithick,yes,sithick,,m,,,CM2,seaIce,
sithick,yes,hi aice,"sithick(var[0],var[1])",m,,,ESM,seaIce,
siu,yes,siu,,m/s,,,CM2,seaIce,
siu,yes,uvel aice,"maskSeaIce(var[0]*var[1],var[1])",m/s,,,ESM,seaIce,
siv,yes,siv,,m/s,,,CM2,seaIce,
siv,yes,vvel aice,"maskSeaIce(var[0]*var[1],var[1])",m/s,,,ESM,seaIce,
sidmassevapsubl,yes,sidmassevapsubl,var[0]*-1,kg m-2 s-1,,up,CM2,seaIce,
sidmassevapsubl,yes,evap_ai aice,"maskSeaIce((var[0]*-1000/8.64e6),var[1])",kg m-2 s-1,,up,ESM,seaIce,
#sndmasssubl,no,evap_snow_ai aice,"maskSeaIce((var[0]*330/8.64e6),var[1])",kg m-2 s-1,,,CM2,seaIce,
sidmassgrowthbot,yes,sidmassgrowthbot,var[0]/1800,kg m-2 s-1,,,CM2,seaIce,
#sidmassgrowthbot,no,congel,var[0]*917/8.64e6,kg m-2 s-1,,,ESM,seaIce,
sidmassgrowthwat,yes,sidmassgrowthwat,var[0]/1800,kg m-2 s-1,,,CM2,seaIce,
#sidmassgrowthwat,no,frazil,var[0]*917/8.64e6,kg m-2 s-1,,,ESM,seaIce,
sidmassmeltbot,yes,sidmassmeltbot,var[0]*-1/1800,kg m-2 s-1,,,CM2,seaIce,
#sidmassmeltbot,no,meltb,var[0]*917/8.64e6,kg m-2 s-1,,,ESM,seaIce,
sidmassmelttop,yes,sidmassmelttop,var[0]*-1/1800,kg m-2 s-1,,,CM2,seaIce,
#sidmassmelttop,no,meltt,var[0]*917/8.64e6,kg m-2 s-1,,,ESM,seaIce,
sidmasssi,yes,sidmasssi,var[0]/1800,kg m-2 s-1,,,CM2,seaIce,
#sidmasssi,no,snoice,var[0]*330/8.64e6,kg m-2 s-1,,,ESM,seaIce,
sihc,yes,sihc,,J m-2,,,CM2,seaIce,
simass,yes,hi hs,var[0]*917+var[1]*330,kg m-2,,,both,seaIce,
sipr,yes,sipr,,kg m-2 s-1,,,CM2,seaIce,
sipr,yes,rain_ai aice,"maskSeaIce((var[0]*1000/8.64e6),var[1])",kg m-2 s-1,,,ESM,seaIce,
sisnconc,yes,sisnthick,sisnconc(var[0]),1,,,CM2,seaIce,
sisnconc,yes,hs aice,"sisnconc(sithick(var[0],var[1]))",1,,,ESM,seaIce,
sisnthick,yes,sisnthick,,m,,,CM2,seaIce,
sisnthick,yes,hs aice,"sithick(var[0],var[1])",m,,,ESM,seaIce,
sispeed,yes,sispeed,,m/s,,,CM2,seaIce,
sispeed,yes,uvel vvel aice,"maskSeaIce(((var[0]**2+var[1]**2)**(0.5))*var[2],var[2])",m/s,,,ESM,seaIce,
sistrxdtop,yes,sistrxdtop,,N m-2,,down,CM2,seaIce,
sistrxdtop,yes,strairx aice,"maskSeaIce(var[0]*var[1],var[1])",N m-2,,down,ESM,seaIce,
sistrydtop,yes,sistrydtop,,N m-2,,down,CM2,seaIce,
sistrydtop,yes,strairy aice,"maskSeaIce(var[0]*var[1],var[1])",N m-2,,down,ESM,seaIce,
sitemptop,yes,sitemptop,,degC,,,CM2,seaIce,
#sitemptop,no,Tsfc aice,"maskSeaIce(var[0]*var[1],var[1])",degC,,,ESM,seaIce,
sndmassmelt,yes,sndmassmelt,var[0]*-1/1800,kg m-2 s-1,,,CM2,seaIce,
sndmasssnf,yes,sndmasssnf,var[0]/1800,kg m-2 s-1,,,CM2,seaIce,
sndmasssnf,yes,snow_ai aice,"maskSeaIce((var[0]*330/8.64e6),var[1])",kg m-2 s-1,,,ESM,seaIce,
sidmasstranx,yes,sidmasstranx,,kg/s,,,CM2,seaIce,
sidmasstranx,yes,hi hs uvel,"iceTransport(var[0],var[2],'x')+snowTransport(var[1],var[2],'x')",kg/s,,,ESM,seaIce,
sidmasstrany,yes,sidmasstrany,,kg/s,,,CM2,seaIce,
sidmasstrany,yes,hi hs vvel,"iceTransport(var[0],var[2],'y')+snowTransport(var[1],var[2],'y')",kg/s,,,ESM,seaIce,
#sisali,no,sice aice,"maskSeaIce(var[0],var[1])",0.001,,,CM2,seaIce,
sisnmass,yes,hs aice,"maskSeaIce(var[0]*330,var[1])",kg m-2,,,both,seaIce,
siflsensupbot,yes,siflsensupbot,,W m-2,,down,CM2,seaIce,
siflsensupbot,yes,fhocn_ai aice,"maskSeaIce(var[0],var[1])",W m-2,,down,ESM,seaIce,
sifb,yes,sifb,,m,,,CM2,seaIce,
sisnhc,yes,sisnhc aice,"maskSeaIce(var[0],var[1])",J m-2,,,CM2,seaIce,
sidconcth,yes,sidconcth,var[0]*100,s-1,,,CM2,seaIce,
sidconcdyn,yes,sidconcdyn,var[0]*100,s-1,,,CM2,seaIce,
sidmassth,yes,sidmassth,,kg m-2 s-1,,,CM2,seaIce,
sidmassdyn,yes,sidmassdyn,,kg m-2 s-1,,,CM2,seaIce,
#sidconcth,no,daidtt,var[0]/8.64e6,s-1,,,ESM,seaIce,
#sidconcdyn,no,daidtd,var[0]/8.64e6,s-1,,,ESM,seaIce,
#sidmassth,no,dvidtt,var[0]*917/8.64e6,kg m-2 s-1,,,ESM,seaIce,
#sidmassdyn,no,dvidtd,var[0]*917/8.64e6,kg m-2 s-1,,,ESM,seaIce,
siflcondtop,yes,siflcondtop,,W m-2,,down,CM2,seaIce,
siflcondbot,yes,siflcondbot,,W m-2,,down,CM2,seaIce,
siforcecoriolx,yes,siforcecoriolx,,N m-2,,,CM2,seaIce,
siforcecorioly,yes,siforcecorioly,,N m-2,,,CM2,seaIce,
siforceintstrx,yes,siforceintstrx,,N m-2,,,CM2,seaIce,
siforceintstry,yes,siforceintstry,,N m-2,,,CM2,seaIce,
sifllatstop,yes,fld_s03i234 fld_s00i031,"maskSeaIce(var[0],var[1])",W m-2,,up,both,seaIce,
sifllwdtop,yes,fld_s02i501 fld_s00i031,var[0]/var[1],W m-2,,down,both,seaIce,
sifllwutop,yes,fld_s03i531 fld_s00i031,var[0]/var[1],W m-2,,up,both,seaIce,
siflsenstop,yes,fld_s03i533 fld_s00i031,var[0]/var[1],W m-2,,up,both,seaIce,
siflswdtop,yes,fld_s01i501 fld_s00i031,var[0]/var[1],W m-2,,down,both,seaIce,
siflswutop,yes,fld_s01i503 fld_s00i031,var[0]/var[1],W m-2,,up,both,seaIce,
#siflswdbot,no,siflswdbot,,W m-2,,down,CM2,seaIce,
#siflswdbot,no,fswthru_ai aice,"maskSeaIce(var[0],var[1])",W m-2,,down,ESM,seaIce,
sidmasslat,yes,sidmasslat,var[0]*-1/1800,kg m-2 s-1,,,CM2,seaIce,
#sidmasslat,no,meltl,(var[0]*917/8.64e6),kg m-2 s-1,,,ESM,seaIce,
sndmassdyn,yes,dvsdtd aice,"maskSeaIce((var[0]*330/8.64e6),var[1])",kg m-2 s-1,,,CM2,seaIce,
siflfwbot,yes,siflfwbot,,kg m-2 s-1,,,CM2,seaIce,
siflfwbot,yes,fresh_ai aice,"maskSeaIce((var[0]*1000/8.64e6),var[1])",kg m-2 s-1,,,ESM,seaIce,
sistrxubot,yes,sistrxubot,,N m-2,,up,CM2,seaIce,
sistrxubot,yes,strocnx aice,"maskSeaIce(var[0]*var[1],var[1])",N m-2,,up,ESM,seaIce,
sistryubot,yes,sistryubot,,N m-2,,up,CM2,seaIce,
sistryubot,yes,strocny aice,"maskSeaIce(var[0]*var[1],var[1])",N m-2,,up,ESM,seaIce,
sndmasssi,yes,sidmasssi,(var[0]*-1*330)/(1800*917),kg m-2 s-1,,,CM2,seaIce,
#sndmasssi,no,snoice aice,"maskSeaIce((var[0]*917/330)/(8.64e6),var[1])",kg m-2 s-1,,,ESM,seaIce,
sitempbot,yes,sitempbot,,K,,,CM2,seaIce,
snmassacrossline,yes,hs uvel vvel,"snowlineTransports(var[0],var[1],var[2])",kg s-1,siline dropX dropY,,both,seaIce,
simassacrossline,yes,hi uvel vvel,"icelineTransports(var[0],var[1],var[2])",kg s-1,siline dropX dropY,,both,seaIce,
siareaacrossline,yes,aice uvel vvel,"icearealineTransports(var[0],var[1],var[2])",m2 s-1,siline dropX dropY,,both,seaIce,
simpconc,yes,apond_ai aice,"maskSeaIce(var[0],var[1])",1,,,CM2,seaIce,
#
#...ocnBgchem
talk,yes,alk,,mmol m-3,,,both,ocnBgchem,
talkos,yes,talkos_raw,,mmol m-3,,,both,ocnBgchem,
intpp,yes,intpp_raw,var[0]*106/16,mmol m-2 s-1,,,both,ocnBgchem,
fgo2,yes,fgo2_raw,,mmol m-2 s-1,,down,both,ocnBgchem,
#fgco2,yes,fgco2nat_raw,var[0]*12e-6,kg m-2 s-1,,down,both,ocnBgchem,
fgco2,yes,fgco2_raw,var[0]*12e-6,kg m-2 s-1,,down,both,ocnBgchem,
fgco2nat,yes,fgco2nat_raw,var[0]*12e-6,kg m-2 s-1,,down,both,ocnBgchem,
dissic,yes,adic,,mmol m-3,,,both,ocnBgchem,
dissicnat,yes,dic,,mmol m-3,,,both,ocnBgchem,
dissicnatos,yes,dic,ocean_surface(var[0]),mmol m-3,dropZ,,both,ocnBgchem,
dissicos,yes,dissicos_raw,,mmol m-3,,,both,ocnBgchem,
epc100,yes,det,(var[0]*106*24)/(16*86400),mmol m-2 s-1,depth100,,both,ocnBgchem,
o2,yes,o2,,mmol m-3,,,both,ocnBgchem,
no3,yes,no3,,mmol m-3,,,both,ocnBgchem,
po4,yes,no3,var[0]/16,mmol m-3,,,both,ocnBgchem,
o2os,yes,o2os_raw,,mmol m-3,,,both,ocnBgchem,
no3os,yes,no3os_raw,,mmol m-3,,,both,ocnBgchem,
po4os,yes,no3os_raw,var[0]/16,mmol m-3,,,both,ocnBgchem,
arag,yes,caco3,,mmol m-3,,,both,ocnBgchem,
detoc,yes,det,var[0]*106/16,mmol m-3,,,both,ocnBgchem,
dfe,yes,fe,var[0]*1e-6,mol m-3,,,both,ocnBgchem,
dfeos,yes,fe,ocean_surface(var[0]*1e-6),mol m-3,dropZ,,both,ocnBgchem,
eparag100,yes,caco3,var[0]*6/86400,mmol m-2 s-1,depth100,,both,ocnBgchem,
chl,yes,phy,(var[0]*106*0.012)/(16*50*1000),kg m-3,,,both,ocnBgchem,
#chlos,yes,phy,ocean_surface((var[0]*106*0.012)/(16*50*1000)),kg m-3,dropZ,,both,ocnBgchem,
chlos,yes,phyos_raw,(var[0]*106*0.012)/(16*50*1000),kg m-3,dropZ,,both,ocnBgchem,
#phycos,yes,phy,ocean_surface(var[0]*106/16),mmol m-3,dropZ,,both,ocnBgchem,
phycos,yes,phyos_raw,var[0]*106/16,mmol m-3,dropZ,,both,ocnBgchem,
#phynos,yes,phy,ocean_surface(var[0]),mmol m-3,dropZ,,both,ocnBgchem,
phynos,yes,phyos_raw,,mmol m-3,dropZ,,both,ocnBgchem,
spco2,yes,paco2,var[0]*0.101325,Pa,,,both,ocnBgchem,
spco2nat,yes,pco2,var[0]*0.101325,Pa,,,both,ocnBgchem,
zooc,yes,zoo,var[0]*106/16,mmol m-3,,,both,ocnBgchem,
zoocos,yes,zoo,ocean_surface(var[0])*106/16,mmol m-3,dropZ,,both,ocnBgchem,
detocos,yes,det,ocean_surface(var[0])*106/16,mmol m-3,dropZ,,both,ocnBgchem,
#
